id,a,b,c,d
0,0.51955987332,0.0980007474408,0.717731874539,0.215497747735
1,0.612360676238,0.54905620705,0.144108578312,0.750505565669
2,0.0527974430251,0.580885765389,0.552579279503,0.47933656237
3,0.441298314913,0.353870195961,0.146157200468,0.788031585026
4,0.864006460036,0.17592250129,0.428470565394,0.146966756769
5,0.123658860854,0.0597491598238,0.287601248836,0.939145681049
6,0.488267084429,0.748172803471,0.507685153774,0.916040169546
7,0.438813802284,0.60816683356,0.342375006413,0.404992836821
8,0.888499668032,0.0323637830111,0.160006745112,0.830402911119
9,0.794677448971,0.860550914369,0.60798119732,0.0445253121211
